"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.392074686E0,2.800000086E-2,6.400000304E-2,5.450000167E-1,5.494588416E-1
1.397089150E0,5.200000107E-2,4.800000042E-2,5.580000281E-1,5.624695828E-1
1.402103676E0,5.200000107E-2,6.100000069E-2,5.180000067E-1,5.241650571E-1
1.407118140E0,3.799999878E-2,8.799999952E-2,5.310000181E-1,5.395822635E-1
1.412132602E0,1.099999994E-2,8.799999952E-2,5.989999771E-1,6.055294976E-1
1.417147292E0,-1.000000047E-3,7.000000030E-2,5.860000253E-1,5.901669507E-1
1.422161770E0,1.200000010E-2,5.600000173E-2,5.180000067E-1,5.211564133E-1
1.427176307E0,5.200000107E-2,6.899999827E-2,4.900000095E-1,4.975590510E-1
1.432190999E0,2.500000037E-2,8.299999684E-2,5.310000181E-1,5.380288271E-1
1.437205448E0,2.400000021E-2,7.800000161E-2,5.989999771E-1,6.045336821E-1
1.442219909E0,9.999999776E-3,6.400000304E-2,6.399999857E-1,6.432697584E-1
1.447234446E0,2.400000021E-2,6.400000304E-2,5.860000253E-1,5.899729062E-1
1.452248905E0,5.099999905E-2,6.400000304E-2,5.860000253E-1,5.916865977E-1
1.457263596E0,3.500000015E-2,5.999999866E-2,5.989999771E-1,6.030140732E-1
1.462278044E0,8.000000380E-3,7.299999893E-2,6.269999743E-1,6.312859634E-1
1.467292581E0,3.500000015E-2,4.600000009E-2,6.399999857E-1,6.426048410E-1
1.472307044E0,3.500000015E-2,4.600000009E-2,6.269999743E-1,6.296586121E-1
1.477321721E0,2.099999972E-2,4.300000146E-2,6.809999943E-1,6.826792749E-1
1.482336184E0,3.400000185E-2,5.600000173E-2,7.080000043E-1,7.110246173E-1
1.487350721E0,3.400000185E-2,5.600000173E-2,7.080000043E-1,7.110246173E-1
1.492365199E0,3.400000185E-2,5.600000173E-2,7.080000043E-1,7.110246173E-1
1.497379889E0,3.200000152E-2,5.299999937E-2,7.080000043E-1,7.107017702E-1
1.502394363E0,3.200000152E-2,3.900000080E-2,7.360000014E-1,7.377269158E-1
1.507408900E0,3.200000152E-2,3.900000080E-2,7.630000114E-1,7.646659517E-1
1.512423363E0,3.200000152E-2,3.900000080E-2,7.900000215E-1,7.916091422E-1
1.517438048E0,3.099999949E-2,3.700000048E-2,7.900000215E-1,7.914733311E-1
1.522452512E0,3.099999949E-2,5.000000075E-2,7.630000114E-1,7.652646715E-1
1.527466958E0,3.099999949E-2,5.000000075E-2,7.630000114E-1,7.652646715E-1
1.532481495E0,3.099999949E-2,3.599999845E-2,7.900000215E-1,7.914272132E-1
1.537495959E0,2.899999917E-2,4.699999839E-2,7.630000114E-1,7.649960897E-1
1.542510649E0,2.899999917E-2,4.699999839E-2,7.360000014E-1,7.380691037E-1
1.547525112E0,5.600000173E-2,3.299999982E-2,7.220000029E-1,7.249199986E-1
1.552539649E0,2.899999917E-2,3.299999982E-2,7.630000114E-1,7.642637093E-1
1.557554112E0,2.800000086E-2,3.099999949E-2,8.450000286E-1,8.460319429E-1
1.562568832E0,2.800000086E-2,3.099999949E-2,9.670000076E-1,9.679018622E-1
1.567583295E0,4.100000113E-2,4.500000179E-2,1.090000033E0,1.091698710E0
1.572597827E0,4.100000113E-2,5.799999833E-2,1.131000042E0,1.133228174E0
